pool_id,resource
4000,79738428600647
1632,74102683157362
4990,71671993517233
360,71186650086815
468,71117998890265
52,71114197111077
1867,70998603362276
6,70932509408281
6525,70816210854426
6514,70803404788201
4452,70754714156085
4006,70747783912729
1684,70746096551320
3094,70739641514486
5491,70736267190054
357,70707226247778
4453,70693420383374
4451,70680930976193
6870,70652196190831
6868,70651876796085
6869,70639948102784
1874,70575942118555
4483,70521053490187
4489,70497918225736
1797,70369239144291
5069,70258638867221
5431,70140177500672
2444,69589016942059
3282,69549090014636
3283,69400117576155
3281,69299480178565
3395,69233168596827
5038,69024657989138
19,68987529255995
5054,68966567347629
5025,68963946388722
5022,68863437259806
5019,68862861405032
3280,68783306897039
5026,68655900192438
5027,68641930422918
5030,68529634935055
5028,68529499867204
5040,68507298114894
3196,68448406613638
4942,68424780445663
954,68331245629783
186,68208256093963
122,68067919313008
5031,68018705115362
5053,67892538280295
3085,67834586180183
5032,67692694659395
6776,67491995760211
5029,67465957946888
776,67299052139598
2158,67235518833896
4450,67137554241237
2006,67050494189111
6773,67037473305830
6775,67035795125726
6774,67035795125726
1925,66965714137233
1740,66917346667519
5020,66464469743413
5039,66336708136951
741,66215586913159
1813,66060303139702
1501,66043898793175
1695,65037468169223
5023,65027063079125
2030,65024145028113
2029,65022337832336
2033,65021354594952
2025,65018144028485
2027,65010561041105
2028,65007273758347
1857,65006640986244
2031,65003798340271
1245,65000960822496
3853,65000025262306
1246,65000003204857
3852,64997327249755
1818,64995180362332
2026,64987837604547
1808,64986773082532
1821,64985859659008
2032,64985116163227
2602,64982590074618
1820,64978885769565
1811,64976387188511
2034,64976107044630
1817,64968588193512
1827,64964823901337
2601,64962028295793
1812,64958110481211
1814,64951936137465
2603,64946322348953
2598,64945667059077
2589,64940840952355
1816,64940193719644
2615,64936836295267
2600,64915523381100
2590,64902170889722
2599,64891236789133
2595,64889525150739
2591,64886090446631
2597,64881939111669
1819,64880964743486
2592,64879779247488
1826,64839917466894
5034,64704537414759
158,64648237750847
301,64638383652635
1767,64328594406327
1765,64328594406327
1766,64328594406327
1,64154008382419
2338,64098991653368
5035,64037391146414
5033,64026784030766
5018,64026191634405
522,64000287994776
1649,64000088448254
4850,63970981762923
161,63889866248445
568,63808503556321
2659,63807341824920
1641,63783719903298
372,63756103931039
92,63578618622606
5014,63548551917573
3465,63377620253204
1455,63121366212758
913,62929572156577
5037,62830504419620
1652,62827888270745
4932,62718099922992
1361,62665768344222
202,62491570219396
531,62453322288623
334,62178564140330
1815,62169311781634
156,62030869577563
2362,61894626806373
396,61443103473740
381,61286623128533
6098,61129315030637
115,61073821010009
6083,61005768036911
1296,60686132999268
5854,60645802024992
312,60467078370600
89,59733748498282
65,59629775395770
2617,59345365543847
1627,59185863471484
744,59055927796700
1628,58891968620634
974,58840296433754
187,58599460527002
2130,57841262359015
276,57285525091510
350,56977343245455
1256,56783751895263
116,56103068797790
6890,56063379058025
999,56013420014154
721,55929192638042
207,55792641087582
5005,55480284843301
890,54775930084865
727,53989240822517
1630,53105942565274
5271,53000022328054
1161,52855810956553
303,52513244483243
1513,52217961857277
1974,51853738233371
182,51786155763710
821,51760984414582
710,51631492026804
1708,51528066043926
2535,51483052943993
226,51436577930825
2783,51006554285257
5187,50794704578836
2168,50736654607670
57,50576806841716
2174,50528503772909
975,50526279697324
211,50480178735018
5185,50421149478700
5186,50411390857317
5189,50402248323752
5184,50386040685020
5188,50370816240329
4941,50292464460406
700,50064284037570
1747,49901661723790
1540,49886807769108
2351,49453754846102
6096,49432550745834
216,49376953554343
1220,49068271497013
2481,48817919986155
1541,48776424125842
212,48753188324440
6042,48248146683296
3626,48120508424629
54,48065236516722
698,47770848342555
4628,47410542626889
2476,47371868888166
101,47129317537266
332,47077140543430
483,46499391061419
37,46019477499487
914,45899919053067
74,45740827692168
363,45657956043685
97,45335747896595
3507,45117867706319
1859,45012297825091
2455,44970958315847
5217,44937541066400
701,44765785769577
2864,44361450023849
5057,44104893749410
1881,43805561529848
73,43587971545193
808,43500728610746
1414,43451333222883
1392,43397611075936
981,43314314775080
2477,43097135783217
5036,43073074852935
199,43021149932378
629,42909572123523
3201,42832110643811
1629,42779312223105
3625,42379891719884
1603,42055581872013
806,41782182247534
142,41738646727852
1631,41700307651950
5024,40584041479420
3429,40577342549053
1550,40100949993873
431,39304878062161
2106,39200133101143
4644,39155404790801
22,39028798788504
179,39011449380351
25,39009193263834
4673,38965388304713
