pool_id,resource
5055,79786811443887
821,69523581147133
4489,69283039442304
3094,69214573996662
4483,69191262515921
4989,68965822503358
4990,68959281859153
1859,68794156131282
360,68670809816288
1695,68517198473533
1684,68474685228379
4452,68297455611269
3196,68278477564026
4451,68264773182052
4453,68250087193032
4450,68154071797847
4628,67165647498455
3282,67140671597502
3283,67036373202353
3281,67011958154558
3395,66997979538452
3397,66952488482298
3396,66935726715398
3398,66935372684700
6,66857509119563
1926,66780438061920
1649,66775797188889
3399,66725999493980
3280,66506433852419
468,66426336334189
401,65899059265945
1740,65893715018739
274,65884039607563
5057,65668433300485
3514,65657029688152
156,65639609699741
2024,65578089847411
3515,65530613495528
1867,65187934844263
2006,65174206164247
1797,65055204691678
1245,65000962107973
3853,65000026557959
1246,65000004590510
3852,64997328536408
1455,64961352600034
158,64918910997039
57,64737807077303
1857,64440724603209
1816,64429852776843
1820,64427541990992
2030,64422053369519
2022,64420344777881
2615,64419821675286
1813,64416934808849
2029,64415829745994
2025,64415548103297
1811,64414547733957
2028,64414438563511
2592,64412417088653
2598,64411321233955
2601,64409185214386
2027,64407413103641
2602,64406405233121
2021,64402139447667
1814,64401365049123
2603,64400272441593
1819,64399797044859
2596,64399471771991
1821,64398628785180
2589,64397784285961
1808,64395252202145
1812,64393988432430
2023,64393825460435
2033,64391257335217
2590,64389423672862
2034,64387983628044
1817,64385282285183
2032,64383736250960
2600,64383633684834
1818,64381328749429
2026,64381242420539
2595,64380576370160
2597,64380233645556
1827,64380231344027
2599,64379925489966
2031,64378254309189
2591,64358355580823
1766,64328594406327
1767,64328594406327
1765,64328594406327
5035,64274336895063
5054,64155498057126
5021,64029942905717
5018,64028142193979
5019,64027408756984
5053,64026805892702
5028,64025610067933
5031,64024997299855
5027,64024394435573
5039,64022585842726
5025,64022585842725
5033,64021982978444
5026,64021982978444
5014,64021982978444
5040,64020777249879
5034,64020174385596
5024,64015954335620
5029,63988924916429
5032,63801905206155
5030,63796479441553
2481,63740054846837
5022,63621407793565
2759,63581679772215
5023,63464783287023
3626,63427651416253
5020,63362564217445
1651,63100159569180
5037,63037956037270
5036,63025898742913
1652,62867494647170
2338,62435872723027
381,62407573825577
5038,62024388742780
1361,61908610378650
741,61908413387683
1826,61864003433267
1529,61814878096088
334,61814062131595
356,61641269957552
1641,61471314564151
1925,61169171607871
115,60751055660483
1815,60595106793420
2362,60523900482745
301,60459185920784
4324,60105035582637
3085,59891789069293
975,59526958089024
522,59304135223247
5056,59287474493313
19,59004618133972
954,58897400363845
50,58876521324180
1629,58740881478686
776,58630609096214
1161,58297501935559
1627,58198017360738
2060,58030331382944
1874,57518982302075
372,57503615719360
202,57496307377081
5186,57344992913909
1628,57148812472919
133,56806038013363
173,56469095321758
350,56451310292485
4006,56315188743356
981,56131685497524
216,56079844152140
1732,55905601642372
744,55369621276603
999,55325572401874
806,55285062542680
1392,55284776912849
1842,55178019905631
2757,55025854089449
2758,55006733850700
2756,54962665270671
2755,54777751294726
721,54617599636456
913,54345732475938
52,53759814568044
1530,53661032878910
3625,53511905841895
1296,53455761955387
207,53379719312007
89,53355521946211
531,53279811710449
808,53258526687200
276,52877801513580
2617,52843894851006
727,52763167145173
2158,52670542821834
710,52404353719684
3155,51564053473969
1571,51517576132222
1747,51223758327998
396,51129841770996
1664,50437024928534
2444,50378129895299
187,50350478361463
974,50235075520047
1662,50192971964214
1660,50190658805642
1663,50188564159087
1661,50176372470022
1632,49900116213449
332,49795795891862
698,49519721532961
2168,49449992118681
483,49017323310292
226,48934119991848
211,48556577049127
4991,48464153305871
174,48317370094653
92,48198994732948
2266,48132856323022
2351,47706826297684
15,47607165801924
4661,47577807551945
1630,47495812499341
303,47361901719530
3644,47079078183339
4283,46914314277160
5189,46881868978360
700,46700520413943
312,46674797941567
1501,46666306858479
254,46636095024708
5184,46512644764960
5188,46443139090449
97,45798713734695
2455,45788377142234
142,45718302844533
101,45303700044060
5046,45126474360602
2476,45106066925932
1513,45059066993261
54,44892992917983
4662,44858592134150
1865,44480323862401
