pool_id,resource
1826,79243597750570
57,69376525529428
2024,68990115340144
821,68738736435677
4489,68735262131411
1867,68682729243927
3094,68671004479203
4483,68559779772949
6,68558375632572
4862,68511991465936
4989,68410108771745
360,68402311571593
4990,68387409460961
1859,68332916588137
468,68319700876300
4662,68189131742701
3196,68085266284558
4712,67945525530247
2028,67923703789052
2034,67898818736857
2596,67897460657797
2597,67874968813124
2601,67846939365397
2603,67844464588046
1815,67839125544314
2031,67828913933764
2598,67828011997274
2022,67826698710651
1811,67823402997144
2033,67814155594035
2029,67811689540080
1812,67809440316018
2032,67801389693671
2602,67798154797361
1814,67795683117346
2027,67794091085142
2599,67793649645497
2030,67792603855426
1857,67790118888967
2595,67782741075255
2590,67776404288634
2023,67775928500092
1817,67775903121556
2021,67770822317469
2589,67769199837222
2591,67767841838196
1816,67762401823368
2600,67751653273542
2615,67744960337554
2025,67743757107716
1819,67737521456941
1813,67735744688254
2026,67731521836140
2592,67731196286515
4451,67726453049754
1820,67720281081132
4452,67714125820791
1808,67690903993413
4453,67680950274534
1818,67679127049356
1821,67657261372706
4450,67614343284137
1827,67611644179929
3282,66609911901858
3281,66525818196722
3283,66478073338192
3395,66464533224445
3396,66414568160136
3397,66410912826792
3398,66376222667654
158,66228312596014
3399,66161428354875
1296,66022998028776
3280,65977229459705
1926,65860708877936
1695,65809872935253
3517,65530806470628
401,65508679861422
3899,65450416235087
4603,65268917228747
3514,65153762952235
3518,65097745650405
3516,65025818294688
3515,65020394035444
1245,65000962107973
3853,65000043719054
1246,65000004590510
3852,64997355388838
2759,64623792554607
1766,64328611042614
1765,64328611007527
1767,64328594406327
4661,64200855321359
5014,64035970079798
5018,64028741361167
5033,64027835423982
5027,63978426912689
5025,63975724293103
5034,63962686028319
5026,63954558387585
5021,63921232563635
5029,63829047305820
5028,63822700501273
5030,63805926194313
5022,63624543337839
5032,63564867343898
5024,63542119707652
5019,63376275472129
2481,63337557218453
356,63250408779025
5020,63117551855651
1651,63100159569180
372,63084567606275
3626,63070532603704
5039,63021656778185
5037,62979944172790
381,62911246003485
5031,62900197892982
5036,62896193972712
1652,62827037903380
5053,62655194679302
1684,62455489735618
2639,62436378593902
50,62082423283863
2338,62035619320798
5038,62029729837927
2362,61720519789226
1529,61600884701894
3085,61502626809613
1925,60876489162386
522,60738288726937
4628,60695086731835
1641,60470356039707
19,60357850438007
4324,60105035582637
975,59763897282069
274,59519408540353
1520,59485742899557
156,59339126716539
776,59064817793980
741,58702392512253
202,58477854623752
3279,58367213743346
3155,58314717583543
4991,58068440680681
2060,57923235322873
1627,57867857382650
1629,57601401111770
2563,57236267783144
1161,57225626774914
5023,57191063929115
115,57026580598392
954,56847957541050
1628,56774981184023
1732,56002012512959
4006,55978876221325
173,55952895250522
981,55752401304008
52,55734528036418
