pool_id,resource
1842,107818954603685
4000,79713968712298
5069,77381733030673
5021,74056536895035
1632,73346673189993
5020,72862541248306
4990,72152534507015
19,71592270889325
2130,71312585855878
468,71309489964738
6514,71290181200086
6525,71283433360216
4452,71221551271404
52,71221491291127
1684,71202362913405
3094,71197079786247
360,71112910244174
6870,71013907054380
6868,71005848084312
6869,71000138796046
1867,70894476982547
2444,70771721631830
1797,70755751614305
6,70630695694633
2006,70615710344400
5040,70583866627955
4453,70159055653763
1220,70145186016209
5431,69999955102134
2247,69917204771086
776,69900738543335
5019,69528133934806
5026,69489868638320
5022,69145613813203
5023,69079529487973
5038,69032332150565
954,69008920156282
5054,68972382798382
531,68804892249779
2158,68767606620206
1296,68766405543967
122,68674519656405
3196,68657220308803
5028,68532749821751
357,68423391864634
3085,68367802662845
396,68184609351636
5031,68020197004760
6776,67920517360871
1874,67916708724254
3626,67903015532348
5053,67891214079601
2659,67716307609832
6775,67507199643693
6773,67490827907729
6774,67476657792797
115,67392535979070
6917,67052919223987
6904,67045174947306
6915,67040012096185
6914,67033558532284
6916,67032267819504
1501,66636109191389
741,66527380792776
1925,66526156298320
1455,66516328711660
568,65941740458787
2754,65862984494606
301,65842720753177
5024,65710866305999
1695,65699592731037
1,65359943554515
1821,65319351845224
2026,65314737465399
1820,65303126865195
1819,65165059690555
1246,65002125447801
1245,65000960822496
3853,65000025262306
3852,64997327249755
116,64909170768044
92,64803896786268
1826,64673795914947
2338,64439890741647
1767,64328992063709
1766,64328594406327
1765,64328594406327
186,64319323627513
1256,64317161587418
202,64278000264742
1044,64268395320524
4850,64196956724667
1811,64073914181604
158,64063491124785
1649,64000088448254
913,63910540516321
522,63892122419593
1641,63783719903298
1747,63680683449178
890,63631690935056
334,63603014432133
276,63521827214381
6890,63211612932978
1529,63164487892477
161,63104679621526
1652,62827888270745
4932,62700792495049
54,62370386945649
5039,62286971470545
2362,62193297160838
6431,62133818856703
156,62103006406022
5027,61479468970957
1161,61474663530396
5029,61377954937815
6098,61134895518735
5854,60835714549379
6083,60614210784038
744,60568270638292
207,60373505580501
5032,60261410839548
2617,60039365986520
4483,59892160681601
350,59294131225462
974,58718140403730
1513,58715197758852
4748,58580225922863
4489,58135160369137
187,57885387800494
1630,57285654651617
372,57198504182935
698,57013935828210
65,57009760529055
89,56454080901232
999,56421869758803
721,56178319899306
4006,56113016814519
5563,55433757985932
710,55028187784987
5014,54534759755064
5037,54521731422545
727,54246486981881
5035,54140409211611
5033,54020117593096
5018,53744513866980
5005,53313130718480
5271,53000022328054
4451,52945237894715
2783,52730353432993
3465,52615899870328
1631,52433150700313
629,52412933348889
1708,51960757626545
303,51857726499910
700,51783114915152
2535,51768852199573
6930,51741774160003
1974,51671546998815
57,51120410037930
2168,50959787655726
216,50943218665624
312,50906135861300
2919,50660204452606
2759,50627707804036
211,50565718326746
1881,50531283773050
182,50393574931666
226,50243644980943
212,50087263874183
2351,50001342115871
975,49469584966142
2174,49458048135501
5098,49232282489452
74,49157785731151
1859,48927861564160
6042,48521206666162
1541,48507644207809
2481,48444364964837
4628,48264934239004
701,48185118060348
97,47554825483070
821,47351770963212
1740,47342241628141
332,47302314843872
914,47153461656779
6903,46444440967252
3507,46173502194509
2476,46080202125419
483,46076322722712
4920,45818857608703
363,45596194538960
15,45248053301646
142,45174584107552
101,45025780235751
2455,44931877150090
6096,44668023366319
2864,44234093230646
5057,44098875048136
2477,43977246703587
1627,43939466333198
808,43684536835093
5025,43654776606419
199,43479255007369
981,43352424787957
381,43139180585357
5036,43071858240565
1361,42785407113761
3201,42777237988842
5142,42505853885336
1540,42472556598113
1700,42398376511986
3625,42194588328095
1392,42070818587811
806,42070474572461
5141,41921931560213
1603,41816359239653
2131,41690069602195
71,41265195644714
4644,40950520052512
73,40266232830111
5217,40236695447740
133,40100528265020
608,39882815155633
179,39769833709974
231,39631575570019
1550,39337090777862
1571,38989995568744
431,38788149144527
509,38557958632851
