time,naka_10
2021-11-06 21:44:35,35
2021-11-11 21:44:15,34
2021-11-16 21:44:14,34
2021-11-21 21:44:23,33
2021-11-26 21:43:39,33
2021-12-01 21:44:40,32
2021-12-06 21:44:50,32
2021-12-11 21:43:57,32
2021-12-16 21:43:58,32
2021-12-21 21:44:45,31
2021-12-26 21:44:36,31
2021-12-31 21:44:46,31
2022-01-05 21:44:40,31
2022-01-10 21:44:33,31
2022-01-15 21:44:03,32
2022-01-20 21:44:38,32
2022-01-25 21:44:50,32
2022-01-30 21:44:31,32
2022-02-04 21:44:26,33
2022-02-09 21:44:03,34
2022-02-14 21:44:31,34
2022-02-19 21:44:23,35
2022-02-24 21:44:29,36
2022-03-01 21:44:42,38
2022-03-06 21:44:45,38
2022-03-11 21:44:47,38
2022-03-16 21:44:08,39
2022-03-21 21:44:10,39
2022-03-26 21:43:35,40
2022-03-31 21:44:35,41
2022-04-05 21:44:35,42
2022-04-10 21:44:42,42
2022-04-15 21:44:42,42
2022-04-20 21:44:48,42
2022-04-25 21:44:50,42
2022-04-30 21:44:36,42
2022-05-05 21:44:43,42
2022-05-10 21:44:32,41
2022-05-15 21:44:36,41
2022-05-20 21:43:05,41
2022-05-25 21:44:42,41
2022-05-30 21:44:47,41
2022-06-04 21:44:08,42
2022-06-09 21:44:47,42
2022-06-14 21:44:35,42
2022-06-19 21:44:39,42
2022-06-24 21:44:28,43
2022-06-29 21:44:42,43
2022-07-04 21:43:31,44
2022-07-09 21:44:45,45
2022-07-14 21:43:19,45
2022-07-19 21:42:55,45
2022-07-24 21:44:11,45
2022-07-29 21:44:03,45
2022-08-03 21:44:08,46
2022-08-08 21:44:40,46
2022-08-13 21:44:34,46
2022-08-18 21:44:40,46
2022-08-23 21:44:31,46
2022-08-28 21:42:34,46
2022-09-02 21:43:32,46
2022-09-07 21:44:17,46
2022-09-12 21:44:46,46
2022-09-17 21:43:59,46
2022-09-22 21:44:42,46
2022-09-27 21:44:27,46
2022-10-02 21:44:08,46
2022-10-07 21:43:49,46
2022-10-12 21:44:14,46
2022-10-17 21:44:25,45
2022-10-22 21:43:10,46
2022-10-27 21:43:42,46
2022-11-01 21:44:17,46
2022-11-06 21:44:20,46
2022-11-11 21:44:05,46
2022-11-16 21:44:19,46
2022-11-21 21:44:07,46
2022-11-26 21:44:27,47
2022-12-01 21:42:36,47
2022-12-06 21:43:47,47
2022-12-11 21:44:32,48
2022-12-16 21:44:03,48
2022-12-21 21:43:24,49
2022-12-21 22:00:16,49
2022-12-31 21:43:57,49
2023-01-05 21:44:42,49
2023-01-10 21:44:16,49
2023-01-10 22:00:31,49
2023-01-20 21:43:39,49
2023-01-25 21:44:33,49
2023-01-30 21:44:32,50
2023-01-30 22:00:35,51
2023-02-09 21:44:10,51
2023-02-14 21:44:42,51
2023-02-19 21:44:32,51
2023-02-24 21:44:43,51
2023-03-01 21:44:28,51
2023-03-06 21:44:06,51
2023-03-11 21:44:00,51
2023-03-16 21:44:33,51
2023-03-21 21:44:26,52
2023-03-26 21:44:03,53
2023-03-31 21:44:39,53
2023-04-05 21:44:28,54
2023-04-10 21:44:01,54
2023-04-15 21:44:23,56
2023-04-20 21:44:03,57
2023-04-25 21:43:59,58
2023-04-30 21:43:46,58
2023-05-05 21:44:08,59
2023-05-10 21:43:54,59
2023-05-15 21:44:34,59
2023-05-20 21:43:20,59
2023-05-25 21:44:21,59
2023-05-30 21:44:35,59
2023-06-04 21:44:48,59
2023-06-09 21:43:40,59
2023-06-14 21:44:01,59
2023-06-19 21:43:55,59
2023-06-24 21:44:30,59
