time,entropy
2021-11-06 21:44:35,12.697087299179865
2021-11-11 21:44:15,12.59663259134599
2021-11-16 21:44:14,12.57973077463418
2021-11-21 21:44:23,12.574195816172336
2021-11-26 21:43:39,12.583700294891804
2021-12-01 21:44:40,12.590397630712022
2021-12-06 21:44:50,12.588614839361322
2021-12-11 21:43:57,12.60723713248815
2021-12-16 21:43:58,12.641275424776255
2021-12-21 21:44:45,12.681086765642538
2021-12-26 21:44:36,12.69777446844627
2021-12-31 21:44:46,12.665644940459636
2022-01-05 21:44:40,12.710671820589427
2022-01-10 21:44:33,12.709282399029702
2022-01-15 21:44:03,12.694988098479024
2022-01-20 21:44:38,12.720486290194543
2022-01-25 21:44:50,12.708596692583
2022-01-30 21:44:31,12.719251704155155
2022-02-04 21:44:26,12.799976369031336
2022-02-09 21:44:03,12.811002830967736
2022-02-14 21:44:31,9.064176559641185
2022-02-19 21:44:23,12.78475403560902
2022-02-24 21:44:29,12.904895183263804
2022-03-01 21:44:42,12.7408148710444
2022-03-06 21:44:45,12.697791053770676
2022-03-11 21:44:47,12.674451836589384
2022-03-16 21:44:08,12.59819761810168
2022-03-21 21:44:10,12.638222604068728
2022-03-26 21:43:35,12.679638465123348
2022-03-31 21:44:35,12.582251294208644
2022-04-05 21:44:35,12.574411581449722
2022-04-10 21:44:42,12.57707355853761
2022-04-15 21:44:42,12.527686757912884
2022-04-20 21:44:48,12.5471910245982
2022-04-25 21:44:50,12.531461129810276
2022-04-30 21:44:36,12.574399536594951
2022-05-05 21:44:43,12.543497615225526
2022-05-10 21:44:32,12.490833768480062
2022-05-15 21:44:36,12.527890277424577
2022-05-20 21:43:05,12.542384755255096
2022-05-25 21:44:42,12.613980324368915
2022-05-30 21:44:47,5.803471851856416
2022-06-04 21:44:08,12.51453866722986
2022-06-09 21:44:47,12.567633724088513
2022-06-14 21:44:35,12.529913818452334
2022-06-19 21:44:39,12.574012138677816
2022-06-24 21:44:28,12.561211428399876
2022-06-29 21:44:42,12.722226112498191
2022-07-04 21:43:31,12.65902350094612
2022-07-09 21:44:45,12.589153719880551
2022-07-14 21:43:19,12.606641042587135
2022-07-19 21:42:55,12.643306111363724
2022-07-24 21:44:11,12.642845258096376
2022-07-29 21:44:03,12.66360999224213
2022-08-03 21:44:08,12.69674110497021
2022-08-08 21:44:40,12.577456919599689
2022-08-13 21:44:34,12.594779581367147
2022-08-18 21:44:40,12.605539250898788
2022-08-23 21:44:31,12.636230235032654
2022-08-28 21:42:34,12.604229598074555
2022-09-02 21:43:32,12.64764189685723
2022-09-07 21:44:17,12.666399524811805
2022-09-12 21:44:46,12.636810726796798
2022-09-17 21:43:59,12.666065566881842
2022-09-22 21:44:42,12.59983892657566
2022-09-27 21:44:27,12.603117747382678
2022-10-02 21:44:08,12.616450643433051
2022-10-07 21:43:49,12.608305672331078
2022-10-12 21:44:14,12.597046486463023
2022-10-17 21:44:25,12.572713427162698
2022-10-22 21:43:10,12.634377392201264
2022-10-27 21:43:42,12.622546609179588
2022-11-01 21:44:17,12.636063876805771
2022-11-06 21:44:20,12.627223465655826
2022-11-11 21:44:05,5.392510113457373
2022-11-16 21:44:19,12.631788487585007
2022-11-21 21:44:07,12.655443950076512
2022-11-26 21:44:27,12.694920131929528
2022-12-01 21:42:36,12.683974343598964
2022-12-06 21:43:47,12.70466859800327
2022-12-11 21:44:32,12.691342375632678
2022-12-16 21:44:03,12.736058203311332
2022-12-21 21:43:24,12.727976592636017
2022-12-21 22:00:16,12.703431169855616
2022-12-31 21:43:57,12.70349048585785
2023-01-05 21:44:42,12.697516278033284
2023-01-10 21:44:16,12.70324876284056
2023-01-10 22:00:31,12.73388368613109
2023-01-20 21:43:39,12.751145813216668
2023-01-25 21:44:33,12.727562006547396
2023-01-30 21:44:32,12.767675163956572
2023-01-30 22:00:35,12.771059756664744
2023-02-09 21:44:10,12.751569996771648
2023-02-14 21:44:42,12.753874364961218
2023-02-19 21:44:32,12.796035712968209
2023-02-24 21:44:43,12.834484063243805
2023-03-01 21:44:28,12.858146632699055
2023-03-06 21:44:06,12.837081899004032
2023-03-11 21:44:00,12.866650623444125
2023-03-16 21:44:33,12.857907337795242
2023-03-21 21:44:26,12.892753444029632
2023-03-26 21:44:03,12.89769466205304
2023-03-31 21:44:39,12.855618557688247
2023-04-05 21:44:28,12.925860562715418
2023-04-10 21:44:01,12.92234662158044
2023-04-15 21:44:23,12.969554840878237
2023-04-20 21:44:03,12.982322929447822
2023-04-25 21:43:59,12.93147102407943
2023-04-30 21:43:46,12.995235910399728
2023-05-05 21:44:08,8.166217588513641
2023-05-10 21:43:54,13.037003546881706
2023-05-15 21:44:34,13.145682908471445
2023-05-20 21:43:20,13.177599145732414
2023-05-25 21:44:21,13.137145814971444
2023-05-30 21:44:35,13.199480828046427
2023-06-04 21:44:48,13.231184909940204
2023-06-09 21:43:40,13.105163124919116
2023-06-14 21:44:01,13.100969260552043
2023-06-19 21:43:55,13.1926660326245
2023-06-24 21:44:30,13.202706565049809
