homepage,resource
...,20117080491
0AAAA.org,1049990974
0pctpools.com,7039127985142
0pool.net,50002035283
0xisla.live,1096725603
1-PCT.com,3057123298418
1337.chiplife.art,5000000
14all.dev,507449333
18.119.65.114/index.html,10500325743
1pc.dev,1100171319531
1pct.net,50779346202
1percentpool.eu,956146884801588
1stcardanostakepoolofindiana.com,4159936541
1wjg.com,20603691
21ada.ca,3438786210883
2Relays1Core.com,0
2six4.com,186130843712
307pool.com,9936496021897
46s.au.ngrok.io,39055219054
4goodstakepool.com,4392295552091
4tun8.tech,1255420835711
5chpool.net,4584711492160
5hare-pool.5pecia1.dev,1057247268
75.119.134.23/index.html,101035421340
7cs.io,8705929
7pool.io,131211546367
7ru3.com,7697083810748
888pool.io,1199515622786
8sqrdpools.com,387618082609
A3CcryptoClub.com,3534340612463
ADA-Kings.com,12811041
ADAMDWST.com,22232785866
ATFFpool.at,71071152785
AVAcsp.com,43549992073
AirAdaPool.com,174314317382
AskCharlesAnything.com,111125570043
AvocPool.com,192423684050
BavarianStakePool.de,1518520178141
BrazilPool.com,373810269
Cardano24.com,4784109192146
CardanoKatet.com,61778310842
CardanoZohar.io,40372895293
Child.Help,10000000
CryptoTuts.de,82694336
CryptoroPools.com,571071840004
DougDo.github.io/AdaPies,1420195170
EnactPool.com,450905138560
EpochStakePool.com,3424883829055
EsquireAutos.ca,2197033763
GigaX.io,1296794903
HKBeyondr.io,67528190132
Hedgespool.com,2022620672542
InvestPool800nlb.com,3003027436
LaurenOCrypto.com,33405920885
MintMatrix.io,764652421
NoCentralAuthority.com,3998363790331
OasisPool.io,15245731679782
PatriotsPool.com,1663928532246
PeterPanPool.com,10322365556
PhoenixCardanoStaking.com,172344080283
Platinum-Pool.com,8034345666
Pool.Bio,18947795492066
StakeMyADA.net,4192210598646
StakeWithPride.com,2807405507112
TexasStakeHouse.com,701601395985
TheHappyHamsters.com,31232209273
TheMorphium.io,222366417284
Voltairera.com,35775721018668
WinePool.io,727354463623
aada.finance,3199671535883
aaron-pool.site,257248304
aastakepool.com,10057343182111
abba-staking.com,3897407068
abbacadabba.com,389420415
abcstake.com,15890296155126
abepool.org,74344009
abobolaispool.com,59435671469
ace.tokendynamics.net,184571781197
acidpools.com,48547578587
acim.org/acim/preface/what-it-says/en/s/43?wid=toc,4731701202
acornpool.net,5709568643
actpool.io,3000315220327
ada-bp.com,9471895
ada-cadabra.com,268126578509
ada-candy-stakepool.com,3700442859246
ada-connect.com,21348614930
ada-czech.org,58067702162
ada-darkpool.com,351394846587
ada-dream-pool.webflow.io,1688197
ada-india.com,407405934
ada-infinitum.github.io,4500923286
ada-pool.cloud,31132911005
ada-pool.s3-website-us-east-1.amazonaws.com,5647630894
ada-quest.com,551510191055
ada-sauna.net,12456038565
ada-sirpool.com,609965534
ada-stake.com,55159452229725
ada-stakepool.com,12122912011
ada-staking.fr,52761500135240
ada-swag.com,15132164232877
ada-swing.net,3326787044056
ada-thailand.com,332165075999
ada.4its.ru,1135150737
ada.CountessOfLovelace.io,3391817536984
ada.bestpool.pro,607637954
ada.evolhumans.com,1100651404
ada.ibexpool.com,19774996991526
ada.markets,290638661366
ada.poligram.de,3588639638443
ada.stakingkakis.com,127219528849
ada.taufinrusli.com,13761114393
ada.vegas,3167752745304
ada.vnpips.com,45394174205
ada.wefin.vn,26381151719
ada.xsec.es,156362215231
ada.zone,11676199028964
ada180.com,472693037829
ada247.net,200548525825
ada4.io/soil,6877147831
ada4good.com,4128697369581
ada4science.com,109161993444
ada63pool.com,14137898329239
ada9000.io,37390936220
adaafrica.dittrex.com,2647043882
adaalphapool.com,19667278413912
adaape.com,8537887514619
adaberrypi.com,52026701759
adablue.io,163257590379
adabreathes.com,5259995470598
adabyte.io,6940521419
adacanw.com,4095742493
adacapital.io,21774260324
adacardano.cl,24237107079
adacardano.ro,7295812476
adacashpool.com,548319766400
adachain.net,115314991
adacoinpool.com,3100645989
adacoinprofits.com,54036269
adacoinz.com,3430149965267
adacryptopool.com,3163674351519
adacuan.com,215077727
adacucumber.com,2056918439
adadada.club,15332242744243
adadeltapool.com,40635305379
adadogpool.org,783402679738
adafarm.io,3825612863529
adafrog.io,33040042750360
adage.app,33519920505997
adagiopool.com,561424313923
adagir.com,91773480819
adaglobe.com,719761013144
adagogo1.com,25352771908
adaheartpool.com,718991825114
adahero.com,325117354214
adaholland.eu,26716091348
adaholycs.de,13428907098
adaimpulse.club,190069923
adainground.com,2215807398259
adaio.io,68224394368
adajapan.com,507640398
adakailabs.com,36165216376
adaloop.org,8160143967
adalovelacepool.com,64319892690633
adaly.io,17345765583337
adamantium.online,4428376145704
adaministake.com,97591519270
adamipool.com,25077673731
adamoon.net,5982084178231
adamountain.com,5010416905
adanaut.com,337241638611
adanet.io,2409147094297
adanorthpool.com,9140017609516
adanz.org,22135426167
adaocean.com,303554940528341
adaocean.com.au,3310235398057
adapays.net,68398221412
adapilot.com,71347516566889
adapointpool.com,19236826108710
adapolis.io,5264897643548
adapool.at,84118874348
adapool.bananabit.net,293125922772
adapool.hst-soft.de,1293221218
adapool.jed.id.au,8193282561
adapool.mokonet.com,53493212339
adapool.mycoin.group,640522870
adapool.one,7397245172141
adapool.qubitvision.io,103164846
adapool.sisikoin.com,636201471
adapool.ssmu.win,1137914195445
adapooler.com,720825229
adapools.github.io/tsar,24488778495
adapools.org,109172027086
adapools.org/CUTE,4422074726786
adapools.org/VIET,729458181
adapools.org/pool/1ed9bb5ed9e686c0ae6bfbcd8f61f7189b56c77d1ec42eb2b3465323,15870870072
adapop.org,32300445910744
adappt.online,3150286806190
adaprizepool.com,351972467318
adaption.us,7775542078
adaptorpool.loxanet.com,6686591827
adapulse.org,0
adarewards.org,14939875317121
adarockpool.com,14221304966
adasaar.de,212221584
adaseal.eu,4223543372468
adasoar.com,49655610849
adasquirrel.com,84735712888
adasrn.com,17887408192
adastack.net,46457459676423
adastak.com,965351273
adastakeit.io,2015433009
adastaking.co.uk,523774563443
adastaking.eu,3710311532641
adastarnode.com,2129792003937
adastat.net,55518966658702
adastrong.com,46304384588429
adasuisse.io,926252991422
adasurge.com,1340486162
adatlv.com,38795539052
adatradepool.com,10227670856
adatree.io,3627343004341
adatrust.space,866566142688
adattitude.github.io,122648039968
adaufopool.eu,5005087881
adavanz.com,1844117048805
adavault.com,141736978228056
adaverse.com,7616662382952
adavibe.eu,171218418155
adavn.com,1901056144103
adavn.stakings.club,6648345984496
adawallet.io,18631617867668
adawingman.com,1185663711
adawinpool.com,26523234459
adaworld.io,2453714259326
adaxstaking.io,1850824957008
adazoo.com,383970559318
adazulpool.com,693100412307
adela.dev,107709520222
adoptstakepool.com,5051395102187
adpl.swebe.vn,181547609297
aegis.eagle.fish,50248621302
aerea.network,5866027063
aeropool.org,16457060820
aferranc.github.io/yodapool,7885705341
agapepool.ca,1424864296801
agrotcardano.com,1126682983
agua.gratis,54259286597
ahaxu.com,20461952469
ahlnet.nu,952225062439
aichi-stakepool.com,84412494693587
aidapool.com.br,8218621388
aioniospool.com,29425252649
aionpool.pl,2223685773196
aivs-adapool.datamaven.pro,3065515102
akanepool.github.io,540537710455
akibapool.com,15178058389111
akyo.org,5356004178537
alfa-pool.com,2705803753525
alizeb.com,3434390863391
allcardano.com/staking,10097029715
alleycatmining.com,5443882265
alliancestakepools.online,15696181800602
allinonada.net,12459401699
allnodes.com/ada/staking,698817344050
alpencardano.io,5519835602932
alphastaking.com,1269107916060
alps.kalu.solutions,44186188765123
altzpool.com,1942591761660
amicielettronici.io,1080603138
amishpirate.com,12119909144
amperepool.com,39152879527
amscardanopool.com,806971418105
amsterdamnode.com,799196943408
anadapool.site,22602871018
anejopool.com,1169750092463
