homepage,resource
0AAAA.org,65416298232
0pctpools.com,5298234072556
0xdeadbeef.network,332326826649
0xisla.live,22261336430
1-PCT.com,2943857344055
1337.chiplife.art,558767174685
14all.dev,507449333
18.119.65.114/index.html,261804911069
1mate.io,500993464041
1pct.net,50779346202
1percentpool.eu,384797053185983
1stcardanostakepoolofindiana.com,3093744999
1wjg.com,20603691
21ada.ca,15286255047881
2Relays1Core.com,0
2six4.com,198870816936
307pool.com,7408828087473
314pool.com,2146584589308
46s.au.ngrok.io,29268347282
4goodstakepool.com,4559473195469
4tun8.tech,1266701341236
5chpool.net,1272952782623
5hare-pool.5pecia1.dev,21937925585
75.119.134.23/index.html,1005175300
7cs.io,8705929
7pool.io,140263982835
7ru3.com,6410054380182
888pool.io,1198104281725
8sqrdpools.com,567168902762
A3CcryptoClub.com,2387852470681
ADA-Kings.com,12691233
ADAMDWST.com,111959357894
ATFFpool.at,54053688606
AVAcsp.com,78208861606
AirAdaPool.com,195841087044
AskCharlesAnything.com,70977308232
AvocPool.com,233176656618
BavarianStakePool.de,1057590280124
BrazilPool.com,1429241653
Cardano24.com,16582500164696
CardanoADAsaverPool.ca,500000000
CardanoKatet.com,58425059042
CardanoOnWheels.com,913932264
CardanoPark.com,2745858844
CardanoZohar.io,385500629
Child.Help,10000000
CryptoTuts.de,67456466
DougDo.github.io/AdaPies,1001425841
DreamCardano.com,256928836978
EnactPool.com,144100214060
EpochStakePool.com,2660422544629
EsquireAutos.ca,2196838386
GOmetalaunch.org,1104990921711
GigaX.io,809142273
HKBeyondr.io,45958926007
Hedgespool.com,1360346723043
InvestPool800nlb.com,864052439
LaurenOCrypto.com,32255092503
LoneStarStaking.net,21575201705
MintMatrix.io,672527451
MooneyMint.com,1129011232339
OasisPool.io,29061082649303
PatriotsPool.com,1712657675632
Platinum-Pool.com,201445511
Pool.Bio,3914234229150
Safestakela.com,19450216293
StakeMyADA.net,3625705740710
StakeWithPride.com,24880587091727
TexasStakeHouse.com,269494123937
TheMorphium.io,14994993432218
Voltairera.com,13949867771315
WinePool.io,350573696820
aada.finance,1738143869319
aaron-pool.site,257248304
aastakepool.com,8128069681363
abba-staking.com,3897407068
abbacadabba.com,489240394
abcstake.com,1413902238136
abepool.org,74344009
ace.tokendynamics.net,8595693051
acim.org/acim/preface/what-it-says/en/s/43?wid=toc,460377578
actpool.io,2666069747519
ada-anvil.io,177717198704
ada-bp.com,9471895
ada-candy-stakepool.com,1123207490942
ada-connect.com,22928704677
ada-czech.org,112307586775
ada-darkpool.com,229082034711
ada-dream-pool.webflow.io,1688197
ada-india.com,407405934
ada-infinitum.github.io,12450349985
ada-pool.cloud,93830213647
ada-pool.s3-website-us-east-1.amazonaws.com,5647630894
ada-quest.com,739453696218
ada-sauna.net,13384425687
ada-stake.com,24538024442716
ada-staking.fr,35136695994601
ada-swag.com,36057636372593
ada-swing.net,44560306338
ada-thailand.com,201260110264
ada.CountessOfLovelace.io,111227246212
ada.bestpool.pro,106115657
ada.evolhumans.com,1000819149
ada.ibexpool.com,28135880297530
ada.lovelace.center,163755733
ada.markets,2602438876
ada.poligram.de,70888523369
ada.solar,110623414
ada.solutions2stake.com,8639608488
ada.stakingkakis.com,145342479317
ada.tdot.finance,260037445012
ada.trik.club,956930582
ada.vegas,6747937816501
ada.vnpips.com,45057803916
ada.xsec.es,4239467337911
ada.zone,6641735180145
ada247.net,208380151918
ada4.io/soil,8436208142
ada4good.com,55352434272296
ada63pool.com,160283718690
ada9000.io,14534383833299
adaafrica.dittrex.com,2647043882
adaalphapool.com,16203005202209
adaape.com,9595238132600
adaberrypi.com,130529834394
adablue.io,86506844013
adabreathes.com,38099223230149
adacanw.com,6798480582
adacapital.io,239228315690
adacardano.cl,41011852068
adacardano.ro,415213889852
adacashpool.com,603970841895
adachain.net,115314991
adacoinpool.com,3100645989
adacoinprofits.com,54036269
adacoinz.com,3300773046113
adacryptopool.com,2935169153588
adacuan.com,227959910
adacucumber.com,2642662192
adadada.club,820598998544
adadeltapool.com,3060522635
adadogpool.org,1145864321373
adafarm.io,8277521606544
adaforwarriors.io,467064344630
adafrog.io,30753666174046
adage.app,15270396001074
adagir.com,98700700471
adaglobe.com,713412550328
adagogo1.com,127385566447
adaheartpool.com,1228079495396
adahero.com,354829839269
adaholycs.de,5608693141
adaimpulse.club,31418201435
adainground.com,2320470063421
adajapan.com,507640398
adakailabs.com,36164610929
adaloop.org,5442182325630
adalot.de,117621214
adalovelacepool.com,61903161598891
adaly.io,2745766571215
adamantium.online,2790856011298
adamill.io,6627356696
adamipool.com,14553021713
adamoney.net,1036007441944
adamoon.net,36212325889407
adamountain.com,5009060140
adanaut.com,358906120281
adanet.io,2703604312076
adanorthpool.com,4295655734395
adaocean.com,226691992619152
adaocean.com.au,4571688129244
adaooo.com,175399647
adaperks.com,61525638870
adapilot.com,79996218685786
adapointpool.com,19237584290083
adapolis.io,4121666702056
adapool-europe.com,10151422344
adapool.at,169565471479
adapool.bananabit.net,297220569637
adapool.hst-soft.de,12952132134
adapool.jed.id.au,10590161165
adapool.mokonet.com,24923956827
adapool.one,16106031045248
adapool.qubitvision.io,103164846
adapool.ssmu.win,897728649007
adapooler.com,720825229
adapools.org,2042714026
adapools.org/AMZ1,13671765433895
adapools.org/CUTE,68126450594
adapools.org/VIET,5470176582
adapools.org/pool/1ed9bb5ed9e686c0ae6bfbcd8f61f7189b56c77d1ec42eb2b3465323,129783024460
adapools.org/pool/4fe880d45cd6170400e70adc79591d8562cbfee07e25e506422da0d7,1609867259780
adapools.org/pool/726f46e3179898154ef9cfbd0fdf5f0bf70b53aabcbc642f05e8b3d7,175830133052
adapools.tech/henry,10000033939
adapop.org,30637151813374
adappt.online,2304616297801
adaprizepool.com,31078354887
adaption.us,36264908
adapulse.org,0
adapunkz.io/pool,136387419461
adarewards.org,282183332421
adarockpool.com,3952825583
adasaar.de,212221584
adaseal.eu,2406972357148
adasquirrel.com,135315757909
adasrn.com,32522817146
adastack.net,22463471381950
adastakeit.io,2015433009
adastaking.co.uk,2375265718675
adastaking.eu,2481233449867
adastarnode.com,2713659415728
adastat.net,63087850241108
adastrium.io,5543514108
adastrong.com,36870438324501
adasuisse.io,919003101146
adasurge.com,1340486162
adatlv.com,35245729
adatradepool.com,42329434478
adatree.io,5167633740665
adatrust.space,452790164182
adautism.io,87010916813
adavanz.com,2313177343436
adavault.com,173759855819330
adaverse.com,2570031569949
adavibe.eu,149782082206
adavn.com,2329660102700
adavn.stakings.club,3293371960385
adawallet.io,1526190171288
adawingman.com,1185663711
adawinpool.com,274557374
adaxstaking.io,455532465293
adayield.io,207191494909
adazoo.com,176462873970
adazulpool.com,117578712223
adela.dev,121123601879
adoptstakepool.com,4523959956651
adpl.swebe.vn,187774098126
aegis.eagle.fish,51117518533
aerea.network,5866027063
aeropool.org,21636524007
agapepool.ca,1181353511144
agrotcardano.com,1283457381
agua.gratis,60133337651
aichi-stakepool.com,86235510975441
aidapool.com.br,8226661493
aioniospool.com,27883075358
aionpool.pl,865540557424
airecardano.com,6940859712
aivs-adapool.datamaven.pro,100777362
akanepool.github.io,562084484729
akibapool.com,35169518661
akyo.org,2441459999972
alfa-pool.com,546614034871
algopool.io,18265141765
alizeb.com,734550867320
allcardano.com/staking,10097029715
allcha.in,217559204716
alleycatmining.com,7626513370
alliancestakepools.online,1441070330955
allinonada.net,15104024701
allnodes.com/ada/staking,2478295525922
alpencardano.io,314305990165
alphastaking.com,1084369038963
alps.kalu.solutions,21389930749058
altopool.com,40046582053
altzpool.com,2158119897353
amantis.club,67465434073
ambassadors-guild.io,10636530827
amicielettronici.io,1075435349
amscardanopool.com,309807205295
amsterdamnode.com,696799570298
anadapool.site,295537802500
anchorofhopepool.com,39629368620
anejopool.com,1179240297997
anetabtc.io,22178968015726
anewpool.io,503696066358
anfra.io,224380099549
angelstakepool.net,56211696501388
angkorwatstakepool.net,611304038795
animation.com/cardanostakepool,1251380150087
animepool.moe,513635621
ankerpool.com,96794849
antrixy.github.io,64245251864
anzpool.com,286217384283
apexpool.info,18190994375354
apnadb.com,1831459395
apolostakepool.com,2530240634890
appy.network,2823411
aquapool.io,1151507286091
arare.io,7562084774
arcadiastakepool.com,6712400777491
argyroscrypto.com,12891046268
arigatopool.com,2527598125
arka.techcallidus.com,10854228146
arkanopool.wordpress.com,1023776022
armada-alliance.co,3634003994
armada-alliance.com/stake-pools,8884069471
armadacardano.io,849143123804
armadastakepool.com,1188783255420
armadillo-pool.org,23112723126
armfunds.org,5879394
armyofspies.io,20259288514455
arrapool.io,17958390033125
arrk.live,198140190537
artano.io,611812994772
artemisone.org,136644068
arthurjgoldman.com,199574439129
artzstakepool.com,2962656735457
