epoch,entropy_3
300,12.613955291801895
301,12.600892042196259
302,12.600818122235832
303,12.609511472886677
304,12.620393226268785
305,12.635330889310541
306,12.657783134539354
307,12.684928500666162
308,12.699016027520706
309,12.708508343623791
310,12.717948353164989
311,12.71550439107645
312,12.729646645850213
313,12.743478098290076
314,12.760241812180205
315,12.791758384726354
316,12.79945596004604
317,11.750023818507286
318,11.751009737727674
319,11.788783683488829
320,11.776766192867633
321,12.803786492667859
322,12.778547206449012
323,12.711606521586381
324,12.693596254990556
325,12.68834440779235
326,12.683192279622777
327,12.671171267901636
328,12.643959234861397
329,12.58957373623497
330,12.57587820459906
331,12.562797185198349
332,12.560289231165505
333,12.5654402014673
334,12.549099614550716
335,12.550124644185559
336,12.544414049578137
337,12.56720680258485
338,9.40841767721169
339,9.41103086255976
340,9.408223216563087
341,9.394642304799232
342,12.567488013582219
343,12.579149308318094
344,12.641549268526008
345,12.671740546495707
346,12.673368109455785
347,12.686898999927752
348,12.643396503548361
349,12.634894695778511
350,12.656925925696886
351,12.6821816935638
352,12.664254366909326
353,12.652489700097084
354,12.632413603174786
355,12.614329350364878
356,12.621881122038479
357,12.63438163768389
358,12.650765292932023
359,12.649694533607988
360,12.666444547342167
361,12.659043270512223
362,12.644981808266277
363,12.63773302822425
364,12.620038067420923
365,12.618521594996889
366,12.612636076649038
367,12.616864335416492
368,12.622617710387889
369,12.629976833890861
370,12.643505013643221
371,8.938192396921055
372,8.926615458484527
373,8.913019947889229
374,8.917702135347591
375,12.69171507339181
376,12.708759917939465
377,12.708845986008027
378,12.715966516602153
379,12.73056275699983
380,12.736313884520873
381,12.736197152674816
382,12.72170888213409
383,12.71843450612096
384,12.727415676644068
385,12.74123239166423
386,12.74968007013029
387,12.764305442839262
388,12.772593472397727
389,12.775792998063674
390,12.781165858124611
391,12.791647781190955
392,12.811869294853164
393,12.837813179375901
394,12.857527768393927
395,12.86719630806974
396,12.86990886993715
397,12.891084346174123
398,12.911854242979855
399,12.907903942743955
400,12.915667172153167
401,12.92959566831724
402,12.949893088181229
403,12.983160586392248
404,12.982742001947726
405,13.004824172101221
406,11.490456390788903
407,11.493236468156876
408,11.53545642299616
409,11.543396342497383
410,13.172142123536556
411,13.186611439098645
412,13.202735405916584
413,13.205091263189631
414,13.198682992645429
415,13.194996286276908
416,13.174487545381838
417,13.174487545381838
418,13.174487545381838
419,13.174487545381838
