epoch,entropy_1,entropy_3,entropy_10
300,12.613298957688745,12.613955291801895,12.682696927417055
301,12.5831745291994,12.60089204219626,12.688493790306344
302,12.57149569857516,12.600818122235832,12.700713994274825
303,12.57517202619593,12.609511472886677,12.715226806714996
304,12.585199337077968,12.620393226268783,12.725628937940735
305,12.597220751170488,12.63533088931054,12.737164694140397
306,12.59864456875584,12.657783134539354,12.75214044111108
307,12.619402846884691,12.684928500666162,12.770765150354036
308,12.663529269389263,12.699016027520706,12.79413975809424
309,12.687077030146623,12.708508343623793,12.811927995684352
310,12.679262679238764,12.717948353164989,12.481231569518872
311,12.68269166450799,12.71550439107645,12.48656104146314
312,12.710326628990927,12.729646645850211,12.504796605678964
313,12.698870360510169,12.743478098290076,12.50377245032563
314,12.70371857147714,12.760241812180205,12.497316319060372
315,12.730267329742578,12.791758384726354,12.48881121913732
316,12.723344226020693,12.79945596004604,12.47123714096126
317,12.765484152877605,11.750023818507286,12.467025111509813
318,12.806321260394752,11.751009737727674,12.46568810703506
319,10.711345055871222,11.788783683488829,12.46710931565868
320,10.682193444790355,11.776766192867631,12.456514682043627
321,12.817147451881024,12.80378649266786,12.7912332741812
322,12.804058312019228,12.778547206449012,12.76802330234481
323,12.718826010458388,12.71160652158638,12.728912233718006
324,12.685166010330772,12.693596254990556,12.702356488566847
325,12.646070315211896,12.68834440779235,12.67934707643692
326,12.623285205554636,12.683192279622777,12.653046643519556
327,12.659733729931432,12.671171267901636,12.630805041003892
328,12.654813988168463,12.643959234861397,12.610384409713772
329,12.578661707370491,12.58957373623497,12.590983591820857
330,12.577498397801625,12.57587820459906,12.59476146154339
331,12.550748039955138,12.562797185198349,11.286682117894252
332,12.535162432546317,12.560289231165504,11.283083651376414
333,12.536501259340833,12.5654402014673,11.287432352638294
334,12.54847199566313,12.549099614550716,11.286540649237391
335,12.556659550215286,12.55012464418556,11.293102206691644
336,12.51200465569375,12.544414049578137,11.290133151481346
337,12.505788495257642,12.56720680258485,11.300256156282185
338,12.53373469352537,9.40841767721169,11.304530682095052
339,12.581859944280962,9.41103086255976,11.305503531870986
340,7.590670836450314,9.408223216563089,11.304279422100176
341,7.595400378572327,9.394642304799232,11.302727966916454
342,12.53743741609107,12.56748801358222,12.664911773398993
343,12.543834064636174,12.579149308318094,12.67713824338949
344,12.550378108532811,12.641549268526008,12.68942066508071
345,12.568309254844474,12.671740546495707,12.69287573105052
346,12.670264085915168,12.673368109455785,12.69168424321377
347,12.707474131099264,12.686898999927752,12.693140731840732
348,12.624459380049933,12.64339650354836,12.672678443474648
349,12.592272705808972,12.634894695778511,12.664320456210431
350,12.618872045757064,12.656925925696886,12.669236587534035
351,12.641936907954571,12.6821816935638,12.67435672386024
352,12.652858271029368,12.664254366909326,12.671349669025464
353,12.682681131344372,12.652489700097084,12.673106513498816
354,12.63444252979076,12.632413603174786,12.668635365041483
355,12.58138692547868,12.614329350364878,12.660603314961506
356,12.593204701188222,12.62188112203848,12.66451703845164
357,12.611310033170144,12.63438163768389,12.665830064657143
358,12.614183890143511,12.650765292932023,12.666530265898668
359,12.619724655025598,12.649694533607988,12.66148680865478
360,12.652062089456496,12.666444547342168,12.664453861949466
361,12.643701384302728,12.659043270512225,12.662187144358995
362,12.645790725719715,12.644981808266277,12.658457498444657
363,12.632684506117842,12.63773302822425,12.656639738809105
364,12.5983110876322,12.620038067420923,11.03759160563281
365,12.60257070469008,12.618521594996889,11.033961595028204
366,12.603091937755677,12.612636076649038,11.033066508652864
367,12.597141849017133,12.616864335416492,11.037912238395602
368,12.584115271609782,12.622617710387887,11.042323940628451
369,12.596827189511574,12.62997683389086,11.045684290561592
370,12.625037480751988,12.64350501364322,11.052146608777145
371,12.624312161456997,8.938192396921055,11.053189324385158
372,12.62358286768717,8.926615458484527,11.059324389804452
373,7.081927781911912,8.913019947889229,11.06268863951869
374,7.0560166039611385,8.917702135347591,11.066357051279606
375,12.64540216897358,12.69171507339181,12.745484267508669
376,12.681621756757268,12.708759917939464,12.752313021008526
377,12.685072042137865,12.708845986008027,12.755427128226032
378,12.688178376293845,12.715966516602151,12.76018123299111
379,12.689884755605048,12.73056275699983,12.763849665005978
380,12.707025733841624,12.736313884520872,12.769869853547906
381,12.731942640296504,12.736197152674816,12.774907905798669
382,12.713258907996872,12.72170888213409,12.774738763797412
383,12.694613955169878,12.71843450612096,12.777372506435784
384,12.692262215196456,12.727415676644068,12.786860765309486
385,12.702127282613835,12.74123239166423,12.800078994636724
386,12.721683328946176,12.74968007013029,12.81640760032715
387,12.740574999200488,12.764305442839262,12.829348932796906
388,12.740586861593798,12.772593472397729,12.842902289501897
389,12.749263436562323,12.775792998063674,12.85336654123354
390,12.765126499313782,12.781165858124613,12.873448779994286
391,12.763462246946196,12.791647781190957,12.89015967744682
392,12.756096160774824,12.811869294853164,12.901701065651627
393,12.78025254133484,12.8378131793759,12.918851430086493
394,12.820917140553934,12.857527768393927,12.936491673640736
395,12.844034347377567,12.86719630806974,12.95099407510741
396,12.844324539813435,12.86990886993715,12.966516216125132
397,12.84961739950826,12.891084346174123,12.976401120990928
398,12.85976184948186,12.911854242979857,12.992302263630272
399,12.888541747281272,12.907903942743957,12.502022008949606
400,12.896111605885364,12.915667172153167,12.507644591698131
401,12.872024653767491,12.92959566831724,12.535881143465442
402,12.893344458446926,12.949893088181229,12.56008589104699
403,12.932253890232694,12.983160586392248,12.58150611204418
404,12.945831780527158,12.982742001947726,12.59975322726726
405,12.985736893948474,13.00482417210122,12.620041558440734
406,12.955014075836324,11.490456390788903,12.627192863000523
407,12.961755318885476,11.493236468156876,12.637206697525436
408,10.142065596656987,11.53545642299616,12.65823383452774
409,10.111571721347133,11.543396342497385,12.669352231899904
410,13.119882999338166,13.172142123536556,12.669352231899904
411,13.162612860580372,13.186611439098645,12.669352231899904
412,13.152501806088742,13.202735405916584,12.669352231899904
413,13.16524303661466,13.205091263189631,12.669352231899904
414,13.207114631454909,13.198682992645429,12.669352231899904
415,13.182192774455544,13.194996286276908,12.669352231899904
416,13.099757543575477,13.174487545381838,12.669352231899904
417,13.146254792218354,13.174487545381838,12.669352231899904
418,13.190520371330429,13.174487545381838,12.669352231899904
419,13.190520371330429,13.174487545381838,12.669352231899904
