epoch,hhi_1
300,221
301,221
302,222
303,223
304,223
305,226
306,227
307,226
308,222
309,222
310,224
311,224
312,224
313,232
314,228
315,229
316,216
317,219
318,220
319,220
320,227
321,227
322,207
323,205
324,206
325,213
326,216
327,223
328,213
329,213
330,211
331,212
332,211
333,211
334,211
335,211
336,211
337,188
338,187
339,187
340,187
341,187
342,190
343,191
344,182
345,182
346,182
347,184
348,184
349,182
350,183
351,182
352,181
353,181
354,181
355,181
356,182
357,183
358,183
359,182
360,182
361,182
362,182
363,183
364,183
365,183
366,183
367,185
368,187
369,187
370,186
371,186
372,186
373,186
374,186
375,185
376,185
377,186
378,185
379,185
380,185
381,185
382,181
383,180
384,179
385,179
386,177
387,179
388,177
389,177
390,177
391,177
392,177
393,177
394,178
395,183
396,182
397,177
398,182
399,178
400,156
401,155
402,156
403,156
404,157
405,143
406,126
407,126
408,111
409,98
410,98
411,87
412,87
413,72
414,67
415,70
416,80
417,80
418,80
419,80
