epoch,hhi_10
300,224
301,227
302,227
303,229
304,228
305,230
306,223
307,225
308,226
309,220
310,214
311,214
312,216
313,211
314,210
315,209
316,210
317,215
318,215
319,215
320,212
321,212
322,210
323,209
324,212
325,212
326,211
327,211
328,211
329,211
330,211
331,188
332,187
333,187
334,187
335,187
336,187
337,187
338,187
339,182
340,182
341,183
342,183
343,183
344,183
345,183
346,183
347,183
348,183
349,181
350,181
351,181
352,182
353,182
354,182
355,183
356,183
357,184
358,184
359,183
360,185
361,185
362,185
363,184
364,186
365,186
366,186
367,186
368,186
369,186
370,185
371,185
372,185
373,185
374,185
375,186
376,186
377,186
378,186
379,186
380,186
381,181
382,181
383,180
384,180
385,177
386,178
387,178
388,178
389,178
390,175
391,175
392,175
393,180
394,178
395,178
396,156
397,157
398,157
399,157
400,138
401,138
402,126
403,126
404,111
405,98
406,88
407,80
408,80
409,74
410,74
411,74
412,74
413,74
414,74
415,74
416,74
417,74
418,74
419,74
