time,entropy_1
2021-11-06 21:44:35,12.613298957688745
2021-11-11 21:44:15,12.5831745291994
2021-11-16 21:44:14,12.57149569857516
2021-11-21 21:44:23,12.57517202619593
2021-11-26 21:43:39,12.585199337077968
2021-12-01 21:44:40,12.597220751170488
2021-12-06 21:44:50,12.59864456875584
2021-12-11 21:43:57,12.619402846884691
2021-12-16 21:43:58,12.663529269389263
2021-12-21 21:44:45,12.687077030146623
2021-12-26 21:44:36,12.679262679238764
2021-12-31 21:44:46,12.68269166450799
2022-01-05 21:44:40,12.710326628990927
2022-01-10 21:44:33,12.698870360510169
2022-01-15 21:44:03,12.70371857147714
2022-01-20 21:44:38,12.730267329742578
2022-01-25 21:44:50,12.723344226020693
2022-01-30 21:44:31,12.765484152877605
2022-02-04 21:44:26,12.806321260394752
2022-02-09 21:44:03,10.711345055871222
2022-02-14 21:44:31,10.682193444790355
2022-02-19 21:44:23,12.817147451881024
2022-02-24 21:44:29,12.804058312019228
2022-03-01 21:44:42,12.718826010458388
2022-03-06 21:44:45,12.685166010330772
2022-03-11 21:44:47,12.646070315211896
2022-03-16 21:44:08,12.623285205554636
2022-03-21 21:44:10,12.659733729931432
2022-03-26 21:43:35,12.654813988168463
2022-03-31 21:44:35,12.578661707370491
2022-04-05 21:44:35,12.577498397801625
2022-04-10 21:44:42,12.550748039955138
2022-04-15 21:44:42,12.535162432546317
2022-04-20 21:44:48,12.536501259340833
2022-04-25 21:44:50,12.54847199566313
2022-04-30 21:44:36,12.556659550215286
2022-05-05 21:44:43,12.51200465569375
2022-05-10 21:44:32,12.505788495257642
2022-05-15 21:44:36,12.53373469352537
2022-05-20 21:43:05,12.581859944280962
2022-05-25 21:44:42,7.590670836450314
2022-05-30 21:44:47,7.595400378572327
2022-06-04 21:44:08,12.53743741609107
2022-06-09 21:44:47,12.543834064636174
2022-06-14 21:44:35,12.550378108532811
2022-06-19 21:44:39,12.568309254844474
2022-06-24 21:44:28,12.670264085915168
2022-06-29 21:44:42,12.707474131099264
2022-07-04 21:43:31,12.624459380049933
2022-07-09 21:44:45,12.592272705808972
2022-07-14 21:43:19,12.618872045757064
2022-07-19 21:42:55,12.641936907954571
2022-07-24 21:44:11,12.652858271029368
2022-07-29 21:44:03,12.682681131344372
2022-08-03 21:44:08,12.63444252979076
2022-08-08 21:44:40,12.58138692547868
2022-08-13 21:44:34,12.593204701188222
2022-08-18 21:44:40,12.611310033170144
2022-08-23 21:44:31,12.614183890143511
2022-08-28 21:42:34,12.619724655025598
2022-09-02 21:43:32,12.652062089456496
2022-09-07 21:44:17,12.643701384302728
2022-09-12 21:44:46,12.645790725719715
2022-09-17 21:43:59,12.632684506117842
2022-09-22 21:44:42,12.5983110876322
2022-09-27 21:44:27,12.60257070469008
2022-10-02 21:44:08,12.603091937755677
2022-10-07 21:43:49,12.597141849017133
2022-10-12 21:44:14,12.584115271609782
2022-10-17 21:44:25,12.596827189511574
2022-10-22 21:43:10,12.625037480751988
2022-10-27 21:43:42,12.624312161456997
2022-11-01 21:44:17,12.62358286768717
2022-11-06 21:44:20,7.081927781911912
2022-11-11 21:44:05,7.0560166039611385
2022-11-16 21:44:19,12.64540216897358
2022-11-21 21:44:07,12.681621756757268
2022-11-26 21:44:27,12.685072042137865
2022-12-01 21:42:36,12.688178376293845
2022-12-06 21:43:47,12.689884755605048
2022-12-11 21:44:32,12.707025733841624
2022-12-16 21:44:03,12.731942640296504
2022-12-21 21:43:24,12.713258907996872
2022-12-21 22:00:16,12.694613955169878
2022-12-31 21:43:57,12.692262215196456
2023-01-05 21:44:42,12.702127282613835
2023-01-10 21:44:16,12.721683328946176
2023-01-10 22:00:31,12.740574999200488
2023-01-20 21:43:39,12.740586861593798
2023-01-25 21:44:33,12.749263436562323
2023-01-30 21:44:32,12.765126499313782
2023-01-30 22:00:35,12.763462246946196
2023-02-09 21:44:10,12.756096160774824
2023-02-14 21:44:42,12.78025254133484
2023-02-19 21:44:32,12.820917140553934
2023-02-24 21:44:43,12.844034347377567
2023-03-01 21:44:28,12.844324539813435
2023-03-06 21:44:06,12.84961739950826
2023-03-11 21:44:00,12.85976184948186
2023-03-16 21:44:33,12.888541747281272
2023-03-21 21:44:26,12.896111605885364
2023-03-26 21:44:03,12.872024653767491
2023-03-31 21:44:39,12.893344458446926
2023-04-05 21:44:28,12.932253890232694
2023-04-10 21:44:01,12.945831780527158
2023-04-15 21:44:23,12.985736893948474
2023-04-20 21:44:03,12.955014075836324
2023-04-25 21:43:59,12.961755318885476
2023-04-30 21:43:46,10.142065596656987
2023-05-05 21:44:08,10.111571721347133
2023-05-10 21:43:54,13.119882999338166
2023-05-15 21:44:34,13.162612860580372
2023-05-20 21:43:20,13.152501806088742
2023-05-25 21:44:21,13.16524303661466
2023-05-30 21:44:35,13.207114631454909
2023-06-04 21:44:48,13.182192774455544
2023-06-09 21:43:40,13.099757543575477
2023-06-14 21:44:01,13.146254792218354
2023-06-19 21:43:55,13.190520371330429
2023-06-24 21:44:30,13.190520371330429
